Date	WetSnow	DrySnow	BareGround
20140920	nan	nan	nan
20140921	nan	nan	nan
20140922	nan	nan	nan
20140923	nan	nan	nan
20140924	nan	nan	nan
20140925	nan	nan	nan
20140926	nan	nan	nan
20140927	nan	nan	nan
20140928	0.3637	0.3136	99.2
20140929	0.3579	0.3133	99.2
20140930	0.3405	0.2833	99.26
20141001	0.2511	0.2558	99.37
20141002	0.2427	0.2445	99.39
20141003	0.1989	0.2168	99.47
20141004	16.41	0.06171	83.42
20141005	17.71	1.093	81.09
20141006	7.909	0.5454	91.44
20141007	7.087	0.5332	92.28
20141008	6.423	0.4084	93.07
20141009	5.988	0.3707	93.54
20141010	4.756	0.2953	94.85
20141011	4.438	0.2588	95.2
20141012	4.042	0.2327	95.62
20141013	4.034	0.2327	95.63
20141014	4.037	0.2329	95.63
20141015	3.959	0.2247	95.72
20141016	3.782	0.2243	95.89
20141017	12.89	7.18	79.83
20141018	12.8	7.016	80.08
20141019	12.29	6.093	81.52
20141020	11.93	5.82	82.15
20141021	11.92	5.791	82.18
20141022	11.08	5.37	83.45
20141023	11.45	5.608	82.83
20141024	10.94	5.463	83.48
20141025	10.96	5.472	83.45
20141026	11.04	5.541	83.31
20141027	11.22	5.628	83.04
20141028	10.76	4.865	84.27
20141029	10.6	4.724	84.56
20141030	10.46	4.674	84.74
20141031	9.583	17.16	73.14
20141101	9.549	17.22	73.12
20141102	9.207	18.17	72.51
20141103	11.8	23.63	64.45
20141104	11.63	24.07	64.17
20141105	11.57	23.82	64.49
20141106	11.57	23.82	64.49
20141107	44.1	17.25	38.53
20141108	44.14	17.25	38.49
20141109	45.08	17.2	37.6
20141110	50.68	16.3	32.9
20141111	nan	nan	nan
20141112	nan	nan	nan
20141113	nan	nan	nan
20141114	nan	nan	nan
20141115	nan	nan	nan
20141116	nan	nan	nan
20141117	nan	nan	nan
20141118	nan	nan	nan
20141119	nan	nan	nan
20141120	nan	nan	nan
20141121	nan	nan	nan
20141122	nan	nan	nan
20141123	nan	nan	nan
20141124	nan	nan	nan
20141125	nan	nan	nan
20141126	nan	nan	nan
20141127	nan	nan	nan
20141128	nan	nan	nan
20141129	nan	nan	nan
20141130	nan	nan	nan
20141201	nan	nan	nan
20141202	nan	nan	nan
20141203	nan	nan	nan
20141204	nan	nan	nan
20141205	nan	nan	nan
20141206	nan	nan	nan
20141207	nan	nan	nan
20141208	nan	nan	nan
20141209	nan	nan	nan
20141210	nan	nan	nan
20141211	nan	nan	nan
20141212	nan	nan	nan
20141213	nan	nan	nan
20141214	nan	nan	nan
20141215	nan	nan	nan
20141216	nan	nan	nan
