Date	WetSnow	DrySnow	BareGround
20140920	nan	nan	nan
20140921	nan	nan	nan
20140922	nan	nan	nan
20140923	nan	nan	nan
20140924	nan	nan	nan
20140925	nan	nan	nan
20140926	nan	nan	nan
20140927	nan	nan	nan
20140928	0.03296	0.2132	99.75
20140929	0.03294	0.213	99.75
20140930	0.0311	0.2073	99.76
20141001	0.02693	0.2061	99.77
20141002	0.02701	0.2067	99.77
20141003	0.01663	0.1713	99.81
20141004	18.83	0.1465	81.02
20141005	21.41	2.069	76.52
20141006	11.08	1.093	87.83
20141007	10.21	1.091	88.7
20141008	9.103	0.8457	90.05
20141009	8.665	0.8084	90.53
20141010	6.949	0.6323	92.42
20141011	6.552	0.5708	92.88
20141012	6.03	0.5079	93.46
20141013	6.029	0.5081	93.46
20141014	6.038	0.5088	93.45
20141015	5.872	0.4853	93.64
20141016	5.658	0.4851	93.86
20141017	17.34	6.773	75.88
20141018	17.28	6.542	76.18
20141019	16.67	6.286	77.05
20141020	16.07	6.072	77.86
20141021	16.14	6.13	77.74
20141022	14.98	5.603	79.41
20141023	15.53	5.89	78.58
20141024	15.44	5.871	78.69
20141025	15.45	5.877	78.67
20141026	15.45	5.933	78.62
20141027	15.57	5.96	78.47
20141028	14.84	5.55	79.61
20141029	14.74	5.405	79.85
20141030	14.6	5.399	80.0
20141031	13.33	18.37	68.31
20141101	13.26	18.45	68.28
20141102	13.02	19.3	67.67
20141103	15.71	24.04	60.25
20141104	15.59	23.95	60.47
20141105	15.53	23.64	60.83
20141106	15.53	23.64	60.83
20141107	42.41	16.16	41.43
20141108	42.43	16.16	41.41
20141109	43.68	16.11	40.21
20141110	49.46	14.43	36.11
20141111	50.99	13.89	35.12
20141112	51.24	13.74	35.03
20141113	51.45	13.79	34.75
20141114	56.96	11.75	31.29
20141115	57.65	11.49	30.86
20141116	nan	nan	nan
20141117	nan	nan	nan
20141118	nan	nan	nan
20141119	nan	nan	nan
20141120	nan	nan	nan
20141121	nan	nan	nan
20141122	nan	nan	nan
20141123	nan	nan	nan
20141124	nan	nan	nan
20141125	nan	nan	nan
20141126	nan	nan	nan
20141127	nan	nan	nan
20141128	nan	nan	nan
20141129	nan	nan	nan
20141130	nan	nan	nan
20141201	nan	nan	nan
20141202	nan	nan	nan
20141203	nan	nan	nan
20141204	nan	nan	nan
20141205	nan	nan	nan
20141206	nan	nan	nan
20141207	nan	nan	nan
20141208	nan	nan	nan
20141209	nan	nan	nan
20141210	nan	nan	nan
20141211	nan	nan	nan
20141212	nan	nan	nan
20141213	nan	nan	nan
20141214	nan	nan	nan
20141215	nan	nan	nan
