Date	WetSnow	DrySnow	BareGround
20140920	nan	nan	nan
20140921	nan	nan	nan
20140922	0.0	0.1004	99.9
20140923	0.0	0.03862	99.96
20140924	0.0	0.03858	99.96
20140925	0.0	0.03858	99.96
20140926	0.0	0.03858	99.96
20140927	0.0	0.03837	99.96
20140928	0.0	0.03392	99.97
20140929	0.0	0.03392	99.97
20140930	0.0	0.0	100.0
20141001	0.0	0.0	100.0
20141002	0.0	0.0	100.0
20141003	0.0	0.0	100.0
20141004	0.1735	0.0	99.83
20141005	0.1812	0.06861	99.75
20141006	0.0	0.002584	100.0
20141007	0.0	0.00258	100.0
20141008	0.0	0.00258	100.0
20141009	0.0	0.0	100.0
20141010	0.0	0.0	100.0
20141011	0.0	0.0	100.0
20141012	0.0	0.0	100.0
20141013	0.0	0.0	100.0
20141014	0.0	0.0	100.0
20141015	0.0	0.0	100.0
20141016	0.0	0.0	100.0
20141017	2.1	1.523	96.38
20141018	2.017	1.525	96.46
20141019	1.305	1.435	97.26
20141020	1.038	1.401	97.56
20141021	0.9891	1.401	97.61
20141022	0.7353	1.209	98.06
20141023	0.7516	1.235	98.01
20141024	0.7361	1.203	98.06
20141025	0.7393	1.208	98.05
20141026	0.7443	1.216	98.04
20141027	0.7501	1.226	98.02
20141028	0.7515	0.7814	98.47
20141029	0.7309	0.7841	98.49
20141030	0.6816	0.7262	98.59
20141031	0.6736	4.115	95.21
20141101	0.6767	4.134	95.19
20141102	0.6153	4.437	94.95
20141103	0.6964	12.05	87.25
20141104	0.7043	12.67	86.63
20141105	0.6829	12.02	87.3
20141106	0.6829	12.02	87.3
20141107	77.96	2.692	19.34
20141108	78.01	2.693	19.3
20141109	78.06	2.695	19.24
20141110	78.82	2.648	18.53
20141111	79.18	2.66	18.16
20141112	79.18	2.66	18.16
20141113	79.59	2.674	17.74
20141114	81.13	2.523	16.35
20141115	81.64	2.505	15.86
20141116	nan	nan	nan
20141117	nan	nan	nan
20141118	nan	nan	nan
20141119	nan	nan	nan
20141120	nan	nan	nan
20141121	nan	nan	nan
20141122	nan	nan	nan
20141123	nan	nan	nan
20141124	nan	nan	nan
20141125	nan	nan	nan
20141126	nan	nan	nan
20141127	nan	nan	nan
20141128	nan	nan	nan
20141129	nan	nan	nan
20141130	nan	nan	nan
20141201	nan	nan	nan
20141202	nan	nan	nan
20141203	nan	nan	nan
20141204	nan	nan	nan
20141205	nan	nan	nan
20141206	nan	nan	nan
20141207	nan	nan	nan
20141208	nan	nan	nan
20141209	nan	nan	nan
20141210	nan	nan	nan
20141211	nan	nan	nan
20141212	nan	nan	nan
