Date,site_id,par,full_name,unit,value_min,value_max,value_mean
1/1/17,Malselv,rr,Dognnedbor v2.0,mm,0,7.5,2.9
1/2/17,Malselv,rr,Dognnedbor v2.0,mm,1.1,5.3,3.1
1/3/17,Malselv,rr,Dognnedbor v2.0,mm,0,2.2,0.2
1/4/17,Malselv,rr,Dognnedbor v2.0,mm,0,0.7,0
1/5/17,Malselv,rr,Dognnedbor v2.0,mm,0,0.3,0.1
1/6/17,Malselv,rr,Dognnedbor v2.0,mm,0,0.5,0
1/7/17,Malselv,rr,Dognnedbor v2.0,mm,0,9,3.1
1/8/17,Malselv,rr,Dognnedbor v2.0,mm,0,10.1,6.2
1/9/17,Malselv,rr,Dognnedbor v2.0,mm,0,9.5,5.9
1/10/17,Malselv,rr,Dognnedbor v2.0,mm,0,10.4,6.4
1/11/17,Malselv,rr,Dognnedbor v2.0,mm,0.9,9.4,3.8
1/12/17,Malselv,rr,Dognnedbor v2.0,mm,0,3.3,1.6
1/13/17,Malselv,rr,Dognnedbor v2.0,mm,0,2.1,0.4
1/14/17,Malselv,rr,Dognnedbor v2.0,mm,0,1.2,0.3
1/15/17,Malselv,rr,Dognnedbor v2.0,mm,0,0.7,0.2
1/16/17,Malselv,rr,Dognnedbor v2.0,mm,0,1.6,0.3
1/17/17,Malselv,rr,Dognnedbor v2.0,mm,0,2.4,1.1
1/18/17,Malselv,rr,Dognnedbor v2.0,mm,0,15.6,7.9
1/19/17,Malselv,rr,Dognnedbor v2.0,mm,3,23,10.5
1/20/17,Malselv,rr,Dognnedbor v2.0,mm,6.6,25.3,14.3
1/21/17,Malselv,rr,Dognnedbor v2.0,mm,5.1,24.8,11.4
1/22/17,Malselv,rr,Dognnedbor v2.0,mm,0,5.9,1.9
1/23/17,Malselv,rr,Dognnedbor v2.0,mm,2.9,13.6,7
1/24/17,Malselv,rr,Dognnedbor v2.0,mm,0,1.9,1
1/25/17,Malselv,rr,Dognnedbor v2.0,mm,0.4,3.5,1.7
1/26/17,Malselv,rr,Dognnedbor v2.0,mm,5.7,39.8,18.4
1/27/17,Malselv,rr,Dognnedbor v2.0,mm,4.2,28.4,13.3
