Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
1/1/17,SPM,1.74,832.40,1.70,815.49,46.33,923.44,1.52,724.80
1/1/17,DOC,5.90,2822.50,5.37,2567.69,127.30,2537.40,5.23,2502.68
1/2/17,SPM,1.74,813.98,1.91,893.33,43.24,842.79,1.51,705.24
1/2/17,DOC,5.90,2760.03,5.84,2733.75,134.47,2621.13,5.23,2445.29
1/3/17,SPM,1.74,778.80,1.76,789.37,43.33,808.17,1.49,668.33
1/3/17,DOC,5.90,2640.76,5.26,2356.28,134.99,2517.51,5.22,2335.98
1/4/17,SPM,1.74,745.58,0.93,399.42,43.12,769.78,1.48,634.01
1/4/17,DOC,5.90,2528.12,4.86,2082.79,134.77,2406.11,5.21,2233.05
1/5/17,SPM,1.74,685.01,0.78,308.96,43.02,705.71,1.45,572.76
1/5/17,DOC,5.90,2322.73,4.92,1936.11,140.77,2309.12,5.20,2046.13
1/6/17,SPM,1.74,639.27,1.25,460.36,42.71,653.81,1.44,527.65
1/6/17,DOC,5.90,2167.66,5.76,2115.57,136.65,2091.81,5.19,1905.63
1/7/17,SPM,1.74,637.29,1.34,489.97,42.41,647.27,1.44,525.72
1/7/17,DOC,5.90,2160.92,5.95,2178.54,135.35,2065.52,5.19,1899.54
1/8/17,SPM,1.74,612.70,1.88,662.50,42.52,623.87,1.43,501.90
1/8/17,DOC,5.90,2077.56,4.55,1602.18,135.23,1984.10,5.18,1824.26
1/9/17,SPM,1.74,593.67,1.88,641.69,42.62,605.90,1.42,483.65
1/9/17,DOC,5.90,2013.02,4.81,1639.44,129.27,1837.74,5.18,1766.09
1/10/17,SPM,1.74,1061.80,1.54,940.22,45.46,1155.83,1.61,981.73
1/10/17,DOC,5.90,3600.34,6.40,3902.78,129.88,3302.40,5.28,3224.72
1/11/17,SPM,1.74,2604.13,3.14,4695.88,53.73,3350.58,2.24,3350.79
1/11/17,DOC,5.90,8830.09,6.33,9471.80,124.60,7770.25,5.64,8442.29
1/12/17,SPM,1.74,3741.98,2.05,4414.37,47.76,4279.20,2.70,5814.59
1/12/17,DOC,5.90,12688.33,5.46,11751.45,131.37,11771.59,5.90,12696.57
1/13/17,SPM,1.74,2671.51,3.10,4757.69,46.14,2951.81,2.27,3479.75
1/13/17,DOC,5.90,9058.55,5.89,9050.15,133.48,8538.89,5.66,8684.62
1/14/17,SPM,1.74,2027.25,2.02,2350.47,45.01,2185.25,2.00,2333.93
1/14/17,DOC,5.90,6874.02,5.03,5856.75,135.34,6570.28,5.51,6416.80
1/15/17,SPM,1.74,1640.69,1.49,1402.24,44.04,1730.20,1.85,1739.97
1/15/17,DOC,5.90,5563.25,5.55,5229.10,137.32,5395.18,5.42,5108.98
1/16/17,SPM,1.74,1361.93,1.71,1335.04,43.20,1408.97,1.73,1355.21
1/16/17,DOC,5.90,4618.02,5.63,4406.51,139.08,4535.85,5.35,4190.52
1/17/17,SPM,1.74,1199.84,1.09,749.72,43.14,1239.53,1.67,1148.26
1/17/17,DOC,5.90,4068.42,6.02,4151.29,139.00,3993.83,5.32,3665.97
1/18/17,SPM,1.74,1112.40,1.34,856.00,43.24,1151.90,1.63,1041.74
1/18/17,DOC,5.90,3771.92,6.24,3989.47,139.20,3707.87,5.30,3385.88
1/19/17,SPM,1.74,1039.31,1.64,981.67,43.47,1081.88,1.60,955.45
1/19/17,DOC,5.90,3524.09,6.47,3863.55,139.43,3470.05,5.28,3153.32
1/20/17,SPM,1.74,974.22,0.94,524.75,43.38,1012.01,1.57,880.73
1/20/17,DOC,5.90,3303.38,6.22,3480.49,139.00,3242.69,5.26,2947.41
1/21/17,SPM,1.74,917.16,2.27,1197.99,43.27,950.43,1.55,816.85
1/21/17,DOC,5.90,3109.90,5.07,2671.46,139.24,3058.16,5.25,2767.83
1/22/17,SPM,1.74,861.41,1.55,769.04,42.73,881.43,1.53,755.92
1/22/17,DOC,5.90,2920.86,5.62,2781.42,139.49,2877.26,5.24,2593.20
1/23/17,SPM,1.74,758.88,1.21,526.55,42.70,775.96,1.49,647.69
1/23/17,DOC,5.90,2573.22,5.02,2189.67,138.86,2523.46,5.21,2274.23
1/24/17,SPM,1.74,723.79,0.60,251.27,42.61,738.48,1.47,611.78
1/24/17,DOC,5.90,2454.24,4.60,1915.09,138.45,2399.56,5.21,2165.70
1/25/17,SPM,1.74,708.69,0.66,270.46,42.56,722.30,1.46,596.50
1/25/17,DOC,5.90,2403.02,4.72,1921.44,137.41,2331.99,5.20,2119.08
1/26/17,SPM,1.74,698.42,0.71,286.38,42.55,711.55,1.46,586.17
1/26/17,DOC,5.90,2368.20,4.80,1927.73,138.26,2312.31,5.20,2087.42
1/27/17,SPM,1.74,680.16,0.81,317.69,42.61,694.04,1.45,567.93
1/27/17,DOC,5.90,2306.28,4.96,1939.19,138.49,2255.67,5.20,2031.19
1/28/17,SPM,1.74,662.26,0.93,352.65,42.59,675.36,1.45,550.20
1/28/17,DOC,5.90,2245.61,5.13,1950.79,138.67,2199.13,5.19,1976.19
1/29/17,SPM,1.74,649.59,1.02,380.38,42.59,662.56,1.44,537.74
1/29/17,DOC,5.90,2202.63,5.25,1959.25,138.67,2157.04,5.19,1937.27
1/30/17,SPM,1.74,637.66,1.32,484.26,42.78,653.27,1.44,526.08
1/30/17,DOC,5.90,2162.18,5.91,2166.57,138.88,2120.72,5.19,1900.68
1/31/17,SPM,1.74,622.58,1.21,432.50,42.60,635.16,1.43,511.44
1/31/17,DOC,5.90,2111.05,5.36,1916.92,137.93,2056.32,5.18,1854.49
2/1/17,SPM,1.74,609.85,1.86,652.84,42.71,623.73,1.42,499.16
2/1/17,DOC,5.90,2067.90,4.58,1606.50,139.72,2040.46,5.18,1815.55
2/2/17,SPM,1.74,600.51,1.80,621.84,42.81,615.66,1.42,490.20
2/2/17,DOC,5.90,2036.23,4.70,1620.89,140.79,2024.57,5.18,1787.00
2/3/17,SPM,1.74,654.27,0.98,369.83,42.48,665.61,1.44,542.34
2/3/17,DOC,5.90,2218.51,5.20,1956.10,139.96,2192.82,5.19,1951.64
2/4/17,SPM,1.74,747.05,0.96,411.94,42.74,764.62,1.48,635.52
2/4/17,DOC,5.90,2533.12,4.88,2094.46,138.38,2475.44,5.21,2237.61
2/5/17,SPM,1.74,792.27,2.27,1031.98,42.62,808.58,1.50,682.40
2/5/17,DOC,5.90,2686.44,5.43,2473.46,140.16,2659.17,5.22,2377.80
2/6/17,SPM,1.74,815.88,1.74,815.88,43.06,841.29,1.51,707.25
2/6/17,DOC,5.90,2766.49,5.90,2766.49,138.06,2697.34,5.23,2451.22
2/7/17,SPM,1.73,809.84,1.80,844.69,59.04,1152.53,1.51,706.48
2/7/17,DOC,5.90,2762.45,5.88,2753.92,132.54,2587.09,5.23,2448.95
2/8/17,SPM,1.72,784.90,2.39,1094.52,55.21,1051.33,1.50,685.53
2/8/17,DOC,5.89,2693.52,5.47,2499.96,135.18,2574.27,5.22,2387.09
2/9/17,SPM,1.71,755.35,1.51,666.41,58.36,1076.72,1.49,659.61
2/9/17,DOC,5.89,2607.87,5.16,2285.11,142.70,2632.59,5.22,2309.95
2/10/17,SPM,1.69,725.71,0.92,395.63,69.09,1232.81,1.48,633.54
2/10/17,DOC,5.89,2520.87,4.86,2079.19,150.31,2681.91,5.21,2231.64
2/11/17,SPM,1.68,698.21,0.61,251.83,60.61,1047.52,1.47,609.67
2/11/17,DOC,5.88,2440.30,4.61,1913.62,143.65,2482.63,5.21,2159.30
2/12/17,SPM,1.67,665.66,0.74,295.69,42.34,702.28,1.46,580.47
2/12/17,DOC,5.88,2340.96,4.85,1931.26,136.76,2268.63,5.20,2069.91
2/13/17,SPM,1.66,608.88,1.31,479.63,42.27,645.74,1.44,526.38
2/13/17,DOC,5.88,2154.66,5.88,2156.79,135.63,2072.02,5.19,1901.62
2/14/17,SPM,1.65,586.35,1.65,585.97,42.42,628.36,1.43,507.57
2/14/17,DOC,5.87,2088.01,4.74,1683.43,134.84,1997.29,5.18,1842.25
2/15/17,SPM,1.64,565.00,1.80,621.10,43.42,624.04,1.42,489.88
2/15/17,DOC,5.87,2024.75,4.70,1621.47,137.39,1974.57,5.18,1785.98
2/16/17,SPM,1.63,573.95,1.89,666.72,43.56,640.40,1.43,503.09
2/16/17,DOC,5.87,2069.98,4.54,1600.32,131.77,1937.25,5.18,1828.04
2/17/17,SPM,1.62,574.12,1.67,594.14,43.93,650.54,1.43,507.42
2/17/17,DOC,5.86,2083.94,4.71,1674.83,133.66,1979.38,5.18,1841.79
2/18/17,SPM,1.60,567.39,1.90,672.09,44.65,658.12,1.43,504.60
2/18/17,DOC,5.86,2072.90,4.52,1597.97,138.10,2035.45,5.18,1832.83
2/19/17,SPM,1.59,586.93,1.18,433.15,44.83,688.33,1.44,529.56
2/19/17,DOC,5.86,2158.29,5.58,2055.79,138.71,2129.88,5.19,1911.61
2/20/17,SPM,1.58,711.04,1.89,848.09,45.93,860.57,1.49,672.06
2/20/17,DOC,5.85,2631.93,5.31,2387.09,137.61,2578.24,5.22,2347.10
2/21/17,SPM,1.57,916.39,1.33,777.68,48.21,1172.46,1.59,928.03
2/21/17,DOC,5.85,3414.58,5.30,3091.67,135.72,3300.69,5.27,3078.26
2/22/17,SPM,1.56,1191.24,1.62,1238.45,48.26,1536.74,1.72,1313.24
2/22/17,DOC,5.85,4468.41,5.77,4410.03,136.45,4345.06,5.35,4086.08
2/23/17,SPM,1.55,1360.32,1.66,1455.63,47.70,1747.27,1.80,1582.41
2/23/17,DOC,5.84,5137.09,5.48,4813.48,136.80,5011.17,5.39,4740.83
2/24/17,SPM,1.54,1252.49,1.86,1515.25,46.22,1570.40,1.75,1430.79
2/24/17,DOC,5.84,4762.06,5.40,4403.77,140.47,4772.62,5.37,4376.34
2/25/17,SPM,1.52,1097.74,1.43,1026.27,46.30,1389.08,1.69,1214.49
2/25/17,DOC,5.84,4202.32,6.14,4418.86,141.70,4250.78,5.33,3836.51
2/26/17,SPM,1.51,1014.85,1.16,777.38,46.71,1305.08,1.65,1107.65
2/26/17,DOC,5.83,3911.87,6.08,4080.47,140.54,3926.95,5.31,3560.08
2/27/17,SPM,1.50,1006.96,1.16,777.83,47.14,1316.79,1.65,1107.24
2/27/17,DOC,5.83,3908.50,6.09,4079.91,139.48,3896.34,5.31,3558.99
2/28/17,SPM,1.49,3264.60,2.02,4431.62,53.63,4893.60,2.73,5982.71
2/28/17,DOC,5.83,12760.54,5.49,12029.97,132.84,12121.96,5.92,12964.29
3/1/17,SPM,1.48,5713.09,2.56,9895.53,53.53,8613.34,3.92,15139.88
3/1/17,DOC,5.82,22489.35,6.20,23944.02,131.32,21131.94,6.59,25457.82
3/2/17,SPM,1.47,4821.87,3.12,10245.88,48.44,6629.73,3.51,11528.87
3/2/17,DOC,5.82,19116.69,6.75,22181.03,135.19,18501.96,6.36,20889.92
3/3/17,SPM,1.46,4022.40,1.71,4708.81,46.91,5397.25,3.14,8665.03
3/3/17,DOC,5.82,16061.99,6.56,18122.13,137.86,15862.11,6.15,16980.90
3/4/17,SPM,1.45,3511.38,1.16,2810.41,46.19,4675.63,2.90,7050.30
3/4/17,DOC,5.81,14123.27,5.43,13193.00,138.69,14039.54,6.02,14615.58
