,site_id,par,datetime,mean_altitude_m,full_name,unit,time_resolution,value_min,value_median,value_max,value_mean,value_std,value_count
0,Storelva,rr,1/1/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0.1,0.012776413,0.033423785,407
1,Storelva,rr,1/2/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0.8,4.8,1.271990172,1.156647832,407
2,Storelva,rr,1/3/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,1.8,5.2,2.056511057,1.428458335,407
3,Storelva,rr,1/4/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,5.1,0.406633907,1.232355357,407
4,Storelva,rr,1/5/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
5,Storelva,rr,1/6/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,1.1,1.6,3.7,1.790663391,0.626674154,407
6,Storelva,rr,1/7/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,14.6,16,17.8,15.97297297,0.76561367,407
7,Storelva,rr,1/8/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,4.2,6,7.4,6.014250614,0.665174051,407
8,Storelva,rr,1/9/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0.3,3.2,0.585995086,0.704786891,407
9,Storelva,rr,1/10/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,9.5,12.3,15.3,12.16683047,1.259194961,407
10,Storelva,rr,1/11/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,2.8,6,11.1,6.463390663,1.872752854,407
11,Storelva,rr,1/12/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0.5,0.8,1.1,0.794840295,0.116593317,407
12,Storelva,rr,1/13/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0.3,1.6,0.562162162,0.462956065,407
13,Storelva,rr,1/14/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,1.6,3.6,6.6,3.767321867,1.249901849,407
14,Storelva,rr,1/15/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,2.4,7.9,17.4,8.721130221,3.280325843,407
15,Storelva,rr,1/16/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,32.8,40.4,45,39.78525799,2.996891472,407
16,Storelva,rr,1/17/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0.2,13.8,2.433906634,3.671401958,407
17,Storelva,rr,1/18/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
18,Storelva,rr,1/19/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0.1,0.4,1.2,0.423341523,0.259253644,407
19,Storelva,rr,1/20/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,3.9,6.4,10.1,6.436363636,1.133047917,407
20,Storelva,rr,1/21/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,24.4,39.6,52.4,39.43759214,6.99592331,407
21,Storelva,rr,1/22/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0.1,1.2,3.5,1.420638821,0.740500819,407
22,Storelva,rr,1/23/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0.3,0.001965602,0.018464953,407
23,Storelva,rr,1/24/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,5.4,6.7,8.8,6.803439803,0.652194447,407
24,Storelva,rr,1/25/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
25,Storelva,rr,1/26/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,1.5,2.7,1.288206388,0.809827858,407
26,Storelva,rr,1/27/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,1.6,8.6,1.85036855,2.008600624,407
27,Storelva,rr,1/28/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0.2,17.5,2.799262899,4.174161011,407
28,Storelva,rr,1/29/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,8.6,9.8,10.5,9.7004914,0.410754148,407
29,Storelva,rr,1/30/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,1.7,5.3,9.6,5.461670762,2.306267998,407
30,Storelva,rr,1/31/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0.1,4.4,9,4.584520885,1.91085342,407
31,Storelva,rr,2/1/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
32,Storelva,rr,2/2/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,3.5,0.345454545,0.652069632,407
33,Storelva,rr,2/3/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
34,Storelva,rr,2/4/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
35,Storelva,rr,2/5/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
36,Storelva,rr,2/6/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
37,Storelva,rr,2/7/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
38,Storelva,rr,2/8/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
39,Storelva,rr,2/9/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
40,Storelva,rr,2/10/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
41,Storelva,rr,2/11/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
42,Storelva,rr,2/12/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
43,Storelva,rr,2/13/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0.5,1,2.7,1.100982801,0.407260483,407
44,Storelva,rr,2/14/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,1.4,3.7,4.9,3.544717445,0.842770096,407
45,Storelva,rr,2/15/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,0,0,0,0,0,407
46,Storelva,rr,2/16/15 6:00,209.7125307,Dognnedbor v2.0,mm,1440,1.9,3.2,4.2,3.103685504,0.541991565,407
