,Turbidity,SPM,Freshet
2018-06-04,5.445416666666667,5.83,Freshet
2018-07-02,2.5016666666666665,1.63,Not freshet
2018-08-13,4.68375,3.74,Not freshet
2018-09-04,2.30375,0.86,Not freshet
2018-10-01,2.9776470588235293,0.77,Not freshet
2018-11-05,3.0658333333333334,0.96,Not freshet
2018-12-03,2.0504166666666666,0.77,Not freshet
2019-01-07,1.01,1.5,Not freshet
2019-02-04,6.266249999999999,3.44,Not freshet
2019-03-04,0.9008333333333334,1.14,Not freshet
2019-04-01,0.8450000000000001,0.9,Not freshet
2019-05-10,12.807083333333333,4.91,Freshet
2019-06-03,7.6875,2.48,Freshet
2019-07-01,2.2391666666666667,2.48,Not freshet
2019-08-05,2.0837499999999998,1.53,Not freshet
2019-09-02,1.8970833333333335,0.86,Not freshet
2019-10-07,2.1979166666666665,1.91,Not freshet
2019-11-04,1.6554166666666665,2.81,Not freshet
2019-12-09,1.4141666666666666,0.76,Not freshet
2020-01-06,1.6241666666666665,0.75,Not freshet
2020-03-02,0.7875000000000001,2.33,Not freshet
2020-04-14,0.60875,6.87,Not freshet
2020-05-04,3.8016666666666663,1.48,Freshet
2020-06-02,18.737083333333334,23.9,Freshet
2020-07-06,2.535833333333333,2.21,Not freshet
2020-08-03,2.0025,2.05,Not freshet
2020-09-07,2.088695652173913,3.74,Not freshet
2020-10-05,1.7320833333333334,0.95,Not freshet
2020-11-02,1.9195833333333334,1.06,Not freshet
2020-12-07,1.121304347826087,2.1,Not freshet
2021-02-15,0.86625,1.32,Not freshet
2021-04-06,1.0282608695652173,6.25,Not freshet
2021-05-03,1.173478260869565,1.65,Freshet
2021-06-07,51.46565217391304,8.2,Freshet
2021-07-05,26.90416666666667,2.71,Not freshet
2021-08-02,5.7725,1.05,Not freshet
2021-09-06,18.6525,0.88,Not freshet
2021-10-04,7.67625,4.73,Not freshet
2021-11-01,10.17375,1.52,Not freshet
2021-12-06,3.7566666666666664,0.22,Not freshet
