sample_date,Ca,Cl,DOC,K,Konduktivitet,Mg,NH4-N,NO3-N,Na,N_Part,TRP,POC,SO4,Si,SiO2,TOC,TOTN,TP,TDP,PP,SPM,Temperatur,Turbiditet,UV-Abs. 254nm,UV-Abs. 285nm,UV-Abs. 365nm,UV-Abs. 410nm,pH
2018-02-12 14:00:00+00:00,8.84,,0.9,,6.89,,13.0,72.0,,6.7,1.0,0.0503,,1.19,,0.89,160.0,2.0,1.0,,0.79,0.1,0.34,0.032734,0.022252,0.005926,0.002694,7.36
2018-03-05 13:30:00+00:00,7.81,,1.1,,6.35,,3.0,60.0,,13.6,1.0,0.124,,1.11,,1.0,148.0,2.0,1.0,,1.39,,0.91,0.03209,0.02078,0.00514,0.0022382,7.5
2018-04-03 15:50:00+00:00,7.86,,0.98,,6.1,,7.0,66.0,,9.68,1.0,0.0849,,1.07,,0.96,185.0,2.0,1.0,,0.9,-0.1,0.48,0.029324,0.019426,0.00478,0.002078,7.5
2018-05-07 10:15:00+00:00,8.19,,3.5,,6.41,,2.0,45.0,,31.5,19.0,0.338,,1.57,,3.5,230.0,27.0,3.0,,19.4,,12.0,0.145308,0.105744,0.033852,0.01655,7.43
2018-06-04 00:00:00+00:00,8.92,,1.0,,6.58,,2.0,30.0,,1.0,5.0,0.077,,0.928,,1.0,110.0,4.0,3.0,,5.83,,1.8,0.040966,0.028174,0.008678,0.004402,7.63
2018-07-02 15:00:00+00:00,10.4,,1.2,,7.69,,2.0,44.0,,6.2,3.0,0.061799999999999994,,0.959,,1.2,78.0,2.0,1.0,,1.63,,0.47,0.0393,0.027572,0.007594,0.003582,7.7
2018-08-13 09:30:00+00:00,10.5,,1.1,,7.67,,3.0,20.0,,3.7,7.0,0.434,,1.0,,1.2,84.0,20.0,1.0,,3.74,,1.3,0.0409,0.0288358,0.008272,0.003792,7.69
2018-09-04 12:45:00+00:00,11.2,,0.95,,8.25,,5.0,27.0,,1.66,1.0,0.001,,0.897,,0.95,68.0,3.0,1.0,,0.86,,0.43,0.027004,0.018602,0.004716,0.002054,7.79
2018-10-01 12:00:00+00:00,12.5,,1.6,,9.18,,3.0,67.0,,12.0,1.0,0.108,,1.16,,1.6,130.0,3.0,1.0,,0.77,,0.51,0.056778,0.040308,0.01143,0.00523,7.81
2018-11-05 12:45:00+00:00,10.9,,0.99,,8.31,,3.0,68.0,,1.0,1.0,0.0072,,1.21,,1.0,150.0,2.0,1.0,,0.96,,0.57,0.0330818,0.022912,0.006238,0.002816,7.67
